cell_class	channel_combo	plate	well
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B2
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	1	B2
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B2
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	1	B2
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B2
all	DAPI_aTubulin_gH2AX_Phalloidin	1	B2
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A1
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	1	A1
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A1
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	1	A1
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A1
all	DAPI_aTubulin_gH2AX_Phalloidin	1	A1
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A3
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	1	A3
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A3
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	1	A3
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A3
all	DAPI_aTubulin_gH2AX_Phalloidin	1	A3
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	B1
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	2	B1
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	B1
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	2	B1
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	B1
all	DAPI_aTubulin_gH2AX_Phalloidin	2	B1
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	B3
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	2	B3
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	B3
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	2	B3
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	B3
all	DAPI_aTubulin_gH2AX_Phalloidin	2	B3
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	A1
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	2	A1
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	A1
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	2	A1
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	2	A1
all	DAPI_aTubulin_gH2AX_Phalloidin	2	A1
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A2
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	1	A2
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A2
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	1	A2
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	A2
all	DAPI_aTubulin_gH2AX_Phalloidin	1	A2
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B1
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	1	B1
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B1
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	1	B1
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B1
all	DAPI_aTubulin_gH2AX_Phalloidin	1	B1
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B3
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	1	B3
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B3
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	1	B3
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	1	B3
all	DAPI_aTubulin_gH2AX_Phalloidin	1	B3
