cell_class	channel_combo	leiden_resolution
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	3
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	4
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	5
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	6
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	7
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	8
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	9
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	10
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	11
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	12
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	13
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	14
Interphase	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	15
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	3
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	4
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	5
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	6
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	7
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	8
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	9
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	10
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	11
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	12
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	13
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	14
Interphase	DAPI_aTubulin_gH2AX_Phalloidin	15
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	3
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	4
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	5
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	6
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	7
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	8
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	9
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	10
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	11
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	12
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	13
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	14
Mitotic	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	15
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	3
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	4
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	5
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	6
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	7
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	8
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	9
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	10
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	11
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	12
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	13
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	14
Mitotic	DAPI_aTubulin_gH2AX_Phalloidin	15
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	3
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	4
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	5
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	6
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	7
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	8
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	9
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	10
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	11
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	12
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	13
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	14
all	DAPI_Ki-67_COXIV_Caspase-3_WGA_aTubulin_Vimentin_gH2AX_Phalloidin	15
all	DAPI_aTubulin_gH2AX_Phalloidin	3
all	DAPI_aTubulin_gH2AX_Phalloidin	4
all	DAPI_aTubulin_gH2AX_Phalloidin	5
all	DAPI_aTubulin_gH2AX_Phalloidin	6
all	DAPI_aTubulin_gH2AX_Phalloidin	7
all	DAPI_aTubulin_gH2AX_Phalloidin	8
all	DAPI_aTubulin_gH2AX_Phalloidin	9
all	DAPI_aTubulin_gH2AX_Phalloidin	10
all	DAPI_aTubulin_gH2AX_Phalloidin	11
all	DAPI_aTubulin_gH2AX_Phalloidin	12
all	DAPI_aTubulin_gH2AX_Phalloidin	13
all	DAPI_aTubulin_gH2AX_Phalloidin	14
all	DAPI_aTubulin_gH2AX_Phalloidin	15
