sample_fp	plate	well	round	tile	channel
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0000_ChannelAF750_30p_100ms_Seq0003.nd2	1	A1	1	0	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0000_ChannelCY3_30p_100ms_Seq0001.nd2	1	A1	1	0	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0000_ChannelCY5_40p_100ms_Seq0002.nd2	1	A1	1	0	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0000_ChannelDAPI_1p_50ms_Seq0000.nd2	1	A1	1	0	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0000_ChannelGFP_5p_100ms_Seq0004.nd2	1	A1	1	0	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0001_ChannelAF750_30p_100ms_Seq0008.nd2	1	A1	1	1	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0001_ChannelCY3_30p_100ms_Seq0006.nd2	1	A1	1	1	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0001_ChannelCY5_40p_100ms_Seq0007.nd2	1	A1	1	1	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0001_ChannelDAPI_1p_50ms_Seq0005.nd2	1	A1	1	1	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0001_ChannelGFP_5p_100ms_Seq0009.nd2	1	A1	1	1	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0002_ChannelAF750_30p_100ms_Seq0013.nd2	1	A1	1	2	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0002_ChannelCY3_30p_100ms_Seq0011.nd2	1	A1	1	2	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0002_ChannelCY5_40p_100ms_Seq0012.nd2	1	A1	1	2	CY5
