cycle	well	tile
1	A1	0
2	A1	0
3	A1	0
4	A1	0
5	A1	0
6	A1	0
7	A1	0
8	A1	0
9	A1	0
10	A1	0
11	A1	0
12	A1	0
13	A1	0
14	A1	0
15	A1	0
1	A1	1
2	A1	1
3	A1	1
4	A1	1
5	A1	1
6	A1	1
7	A1	1
8	A1	1
9	A1	1
10	A1	1
11	A1	1
12	A1	1
13	A1	1
14	A1	1
15	A1	1
1	A1	2
2	A1	2
3	A1	2
4	A1	2
5	A1	2
6	A1	2
7	A1	2
8	A1	2
9	A1	2
10	A1	2
11	A1	2
12	A1	2
13	A1	2
14	A1	2
15	A1	2
1	A1	3
2	A1	3
3	A1	3
4	A1	3
5	A1	3
6	A1	3
7	A1	3
8	A1	3
9	A1	3
10	A1	3
11	A1	3
12	A1	3
13	A1	3
14	A1	3
15	A1	3
1	A1	4
2	A1	4
3	A1	4
4	A1	4
5	A1	4
6	A1	4
7	A1	4
8	A1	4
9	A1	4
10	A1	4
11	A1	4
12	A1	4
13	A1	4
14	A1	4
15	A1	4
1	A1	5
2	A1	5
3	A1	5
4	A1	5
5	A1	5
6	A1	5
7	A1	5
8	A1	5
9	A1	5
10	A1	5
11	A1	5
12	A1	5
13	A1	5
14	A1	5
15	A1	5
1	A1	6
2	A1	6
3	A1	6
4	A1	6
5	A1	6
6	A1	6
7	A1	6
8	A1	6
9	A1	6
10	A1	6
11	A1	6
12	A1	6
13	A1	6
14	A1	6
15	A1	6
1	A1	7
2	A1	7
3	A1	7
4	A1	7
5	A1	7
6	A1	7
7	A1	7
8	A1	7
9	A1	7
10	A1	7
11	A1	7
12	A1	7
13	A1	7
14	A1	7
15	A1	7
1	A1	8
2	A1	8
3	A1	8
4	A1	8
5	A1	8
6	A1	8
7	A1	8
8	A1	8
9	A1	8
10	A1	8
11	A1	8
12	A1	8
13	A1	8
14	A1	8
15	A1	8
1	A1	9
2	A1	9
3	A1	9
4	A1	9
5	A1	9
6	A1	9
7	A1	9
8	A1	9
9	A1	9
10	A1	9
11	A1	9
12	A1	9
13	A1	9
14	A1	9
15	A1	9
1	A1	10
2	A1	10
3	A1	10
4	A1	10
5	A1	10
6	A1	10
7	A1	10
8	A1	10
9	A1	10
10	A1	10
11	A1	10
12	A1	10
13	A1	10
14	A1	10
15	A1	10
1	A1	11
2	A1	11
3	A1	11
4	A1	11
5	A1	11
6	A1	11
7	A1	11
8	A1	11
9	A1	11
10	A1	11
11	A1	11
12	A1	11
13	A1	11
14	A1	11
15	A1	11
1	A1	12
2	A1	12
3	A1	12
4	A1	12
5	A1	12
6	A1	12
7	A1	12
