sample_fp	plate	well	tile	cycle
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c1/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	1
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c2/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	2
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c3/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	3
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c4/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	4
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c5/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	5
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c6/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	6
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c7/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	7
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c8/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	8
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c9/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	9
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c10/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	10
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c11/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	11
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c12/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	12
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c13/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	13
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c14/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	14
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c15/WellA1_PointA1_0000_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0000.nd2	1	A1	0	15
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c1/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	1
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c2/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	2
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c3/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	3
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c4/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	4
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c5/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	5
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c6/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	6
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c7/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	7
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c8/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	8
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c9/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	9
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c10/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	10
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c11/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	11
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c12/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	12
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c13/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	13
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c14/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	14
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c15/WellA1_PointA1_0001_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0001.nd2	1	A1	1	15
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c1/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	1
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c2/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	2
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c3/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	3
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c4/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	4
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c5/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	5
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c6/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	6
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c7/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	7
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c8/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	8
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c9/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	9
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c10/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	10
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c11/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	11
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c12/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	12
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c13/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	13
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c14/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	14
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c15/WellA1_PointA1_0002_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0002.nd2	1	A1	2	15
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c1/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	1
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c2/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	2
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c3/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	3
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c4/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	4
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c5/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	5
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c6/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	6
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c7/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	7
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c8/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	8
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c9/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	9
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c10/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	10
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c11/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	11
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c12/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	12
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c13/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	13
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c14/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	14
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c15/WellA1_PointA1_0003_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0003.nd2	1	A1	3	15
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c1/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	1
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c2/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	2
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c3/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	3
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c4/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	4
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c5/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	5
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c6/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	6
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c7/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	7
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c8/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	8
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c9/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	9
/archive/cheeseman/brieflow_screens/etna-data/input_sbs/c10/WellA1_PointA1_0004_ChannelDAPI_T7,MiSeq_G_T7,MiSeq_T_T7,MiSeq_A_T7,MiSeq_C_T7_Seq0004.nd2	1	A1	4	10
